Index,Occupation title (click on the occupation title to view its profile),Year,Employment,Average hourly wage,Industry average,Similar occupation average
504,"Office and Administrative Support Occupations - Financial Clerks - Financial Clerks, All Other",2021,30310,$23.00,$20.88,$20.84
505,Office and Administrative Support Occupations - Information and Record Clerks - Brokerage Clerks,2021,39980,$27.75,$20.88,$18.59
506,Office and Administrative Support Occupations - Information and Record Clerks - Correspondence Clerks,2021,7060,$20.06,$20.88,$18.59
507,"Office and Administrative Support Occupations - Information and Record Clerks - Court, Municipal, and License Clerks",2021,150170,$21.57,$20.88,$18.59
508,"Office and Administrative Support Occupations - Information and Record Clerks - Credit Authorizers, Checkers, and Clerks",2021,16820,$21.42,$20.88,$18.59
509,Office and Administrative Support Occupations - Information and Record Clerks - Customer Service Representatives,2021,2787070,$18.79,$20.88,$18.59
510,"Office and Administrative Support Occupations - Information and Record Clerks - Eligibility Interviewers, Government Programs",2021,151340,$23.35,$20.88,$18.59
511,Office and Administrative Support Occupations - Information and Record Clerks - File Clerks,2021,85460,$17.70,$20.88,$18.59
512,"Office and Administrative Support Occupations - Information and Record Clerks - Hotel, Motel, and Resort Desk Clerks",2021,220380,$13.48,$20.88,$18.59
513,"Office and Administrative Support Occupations - Information and Record Clerks - Interviewers, Except Eligibility and Loan",2021,169840,$18.67,$20.88,$18.59
514,"Office and Administrative Support Occupations - Information and Record Clerks - Library Assistants, Clerical",2021,78470,$15.62,$20.88,$18.59
515,Office and Administrative Support Occupations - Information and Record Clerks - Loan Interviewers and Clerks,2021,238610,$21.59,$20.88,$18.59
516,Office and Administrative Support Occupations - Information and Record Clerks - New Accounts Clerks,2021,40500,$19.83,$20.88,$18.59
517,Office and Administrative Support Occupations - Information and Record Clerks - Order Clerks,2021,133850,$20.11,$20.88,$18.59
518,"Office and Administrative Support Occupations - Information and Record Clerks - Human Resources Assistants, Except Payroll and Timekeeping",2021,102770,$21.56,$20.88,$18.59
519,Office and Administrative Support Occupations - Information and Record Clerks - Receptionists and Information Clerks,2021,983150,$15.82,$20.88,$18.59
520,Office and Administrative Support Occupations - Information and Record Clerks - Reservation and Transportation Ticket Agents and Travel Clerks,2021,100860,$21.94,$20.88,$18.59
