Index,Occupation title (click on the occupation title to view its profile),Year,Employment,Average hourly wage,Industry average,Similar occupation average
0,Management Occupations - Top Executives - Chief Executives,2021,200480,$102.41,$59.31,$57.94
1,Management Occupations - Top Executives - General and Operations Managers,2021,2984920,$55.41,$59.31,$57.94
2,Management Occupations - Top Executives - Legislators,2021,44590,NaN,$59.31,$57.94
3,"Management Occupations - Advertising, Marketing, Promotions, Public Relations, and Sales Managers - Advertising and Promotions Managers",2021,22520,$68.68,$59.31,$69.77
4,"Management Occupations - Advertising, Marketing, Promotions, Public Relations, and Sales Managers - Marketing Managers",2021,278690,$73.77,$59.31,$69.77
5,"Management Occupations - Advertising, Marketing, Promotions, Public Relations, and Sales Managers - Sales Managers",2021,453800,$68.46,$59.31,$69.77
6,"Management Occupations - Advertising, Marketing, Promotions, Public Relations, and Sales Managers - Public Relations Managers",2021,59850,$66.35,$59.31,$69.77
7,"Management Occupations - Advertising, Marketing, Promotions, Public Relations, and Sales Managers - Fundraising Managers",2021,23190,$57.40,$59.31,$69.77
8,Management Occupations - Operations Specialties Managers - Administrative Services Managers,2021,224620,$54.34,$59.31,$67.26
9,Management Occupations - Operations Specialties Managers - Facilities Managers,2021,101230,$49.03,$59.31,$67.26
10,Management Occupations - Operations Specialties Managers - Computer and Information Systems Managers,2021,485190,$78.33,$59.31,$67.26
11,Management Occupations - Operations Specialties Managers - Financial Managers,2021,681070,$73.78,$59.31,$67.26
12,Management Occupations - Operations Specialties Managers - Industrial Production Managers,2021,192270,$56.62,$59.31,$67.26
13,Management Occupations - Operations Specialties Managers - Purchasing Managers,2021,69310,$64.71,$59.31,$67.26
14,"Management Occupations - Operations Specialties Managers - Transportation, Storage, and Distribution Managers",2021,144640,$50.76,$59.31,$67.26
15,Management Occupations - Operations Specialties Managers - Compensation and Benefits Managers,2021,15330,$67.05,$59.31,$67.26
16,Management Occupations - Operations Specialties Managers - Human Resources Managers,2021,166530,$65.67,$59.31,$67.26
17,Management Occupations - Operations Specialties Managers - Training and Development Managers,2021,35830,$61.92,$59.31,$67.26
18,"Management Occupations - Other Management Occupations - Farmers, Ranchers, and Other Agricultural Managers",2021,5220,$37.71,$59.31,$51.55
19,Management Occupations - Other Management Occupations - Construction Managers,2021,284750,$52.02,$59.31,$51.55
20,"Management Occupations - Other Management Occupations - Education and Childcare Administrators, Preschool and Daycare",2021,56430,$25.87,$59.31,$51.55
21,"Management Occupations - Other Management Occupations - Education Administrators, Kindergarten through Secondary",2021,274710,NaN,$59.31,$51.55
22,"Management Occupations - Other Management Occupations - Education Administrators, Postsecondary",2021,155990,$53.49,$59.31,$51.55
23,"Management Occupations - Other Management Occupations - Education Administrators, All Other",2021,49970,$45.54,$59.31,$51.55
24,Management Occupations - Other Management Occupations - Architectural and Engineering Managers,2021,187100,$76.43,$59.31,$51.55
25,Management Occupations - Other Management Occupations - Food Service Managers,2021,210680,$30.75,$59.31,$51.55
26,Management Occupations - Other Management Occupations - Gambling Managers,2021,3660,$42.88,$59.31,$51.55
27,"Management Occupations - Other Management Occupations - Entertainment and Recreation Managers, Except Gambling",2021,17800,$35.48,$59.31,$51.55
28,Management Occupations - Other Management Occupations - Lodging Managers,2021,35920,$32.58,$59.31,$51.55
29,Management Occupations - Other Management Occupations - Medical and Health Services Managers,2021,436770,$57.61,$59.31,$51.55
30,Management Occupations - Other Management Occupations - Natural Sciences Managers,2021,74760,$75.05,$59.31,$51.55
31,Management Occupations - Other Management Occupations - Postmasters and Mail Superintendents,2021,12750,$39.34,$59.31,$51.55
32,"Management Occupations - Other Management Occupations - Property, Real Estate, and Community Association Managers",2021,234680,$33.67,$59.31,$51.55
33,Management Occupations - Other Management Occupations - Social and Community Service Managers,2021,156400,$36.92,$59.31,$51.55
34,Management Occupations - Other Management Occupations - Emergency Management Directors,2021,10320,$40.77,$59.31,$51.55
35,Management Occupations - Other Management Occupations - Funeral Home Managers,2021,12710,$39.86,$59.31,$51.55
36,"Management Occupations - Other Management Occupations - Personal Service Managers, All Other",2021,7350,$28.65,$59.31,$51.55
37,"Management Occupations - Other Management Occupations - Managers, All Other",2021,497890,$62.36,$59.31,$51.55
38,"Business and Financial Operations Occupations - Business Operations Specialists - Agents and Business Managers of Artists, Performers, and Athletes",2021,12480,$55.97,$39.72,$38.64
39,"Business and Financial Operations Occupations - Business Operations Specialists - Claims Adjusters, Examiners, and Investigators",2021,278140,$34.11,$39.72,$38.64
40,"Business and Financial Operations Occupations - Business Operations Specialists - Insurance Appraisers, Auto Damage",2021,11430,$32.78,$39.72,$38.64
41,Business and Financial Operations Occupations - Business Operations Specialists - Compliance Officers,2021,334340,$36.45,$39.72,$38.64
42,Business and Financial Operations Occupations - Business Operations Specialists - Cost Estimators,2021,208950,$35.45,$39.72,$38.64
43,Business and Financial Operations Occupations - Business Operations Specialists - Human Resources Specialists,2021,740830,$34.00,$39.72,$38.64
44,Business and Financial Operations Occupations - Business Operations Specialists - Farm Labor Contractors,2021,440,$26.16,$39.72,$38.64
45,Business and Financial Operations Occupations - Business Operations Specialists - Labor Relations Specialists,2021,63810,$37.05,$39.72,$38.64
46,Business and Financial Operations Occupations - Business Operations Specialists - Logisticians,2021,189320,$38.09,$39.72,$38.64
47,Business and Financial Operations Occupations - Business Operations Specialists - Project Management Specialists,2021,743860,$47.32,$39.72,$38.64
48,Business and Financial Operations Occupations - Business Operations Specialists - Management Analysts,2021,768450,$48.33,$39.72,$38.64
49,"Business and Financial Operations Occupations - Business Operations Specialists - Meeting, Convention, and Event Planners",2021,98150,$27.81,$39.72,$38.64
50,Business and Financial Operations Occupations - Business Operations Specialists - Fundraisers,2021,82080,$31.19,$39.72,$38.64
51,"Business and Financial Operations Occupations - Business Operations Specialists - Compensation, Benefits, and Job Analysis Specialists",2021,87750,$35.49,$39.72,$38.64
52,Business and Financial Operations Occupations - Business Operations Specialists - Training and Development Specialists,2021,336030,$32.51,$39.72,$38.64
53,Business and Financial Operations Occupations - Business Operations Specialists - Market Research Analysts and Marketing Specialists,2021,727540,$36.58,$39.72,$38.64
54,"Business and Financial Operations Occupations - Business Operations Specialists - Business Operations Specialists, All Other",2021,1030330,$38.10,$39.72,$38.64
55,Business and Financial Operations Occupations - Financial Specialists - Accountants and Auditors,2021,1318550,$40.37,$39.72,$41.99
56,Business and Financial Operations Occupations - Financial Specialists - Budget Analysts,2021,47440,$40.50,$39.72,$41.99
57,Business and Financial Operations Occupations - Financial Specialists - Credit Analysts,2021,68770,$42.32,$39.72,$41.99
58,Business and Financial Operations Occupations - Financial Specialists - Financial and Investment Analysts,2021,291880,$49.53,$39.72,$41.99
59,Business and Financial Operations Occupations - Financial Specialists - Personal Financial Advisors,2021,263030,$57.67,$39.72,$41.99
60,Business and Financial Operations Occupations - Financial Specialists - Insurance Underwriters,2021,107690,$38.43,$39.72,$41.99
61,Business and Financial Operations Occupations - Financial Specialists - Financial Risk Specialists,2021,54320,$53.18,$39.72,$41.99
62,Business and Financial Operations Occupations - Financial Specialists - Financial Examiners,2021,60750,$46.24,$39.72,$41.99
63,Business and Financial Operations Occupations - Financial Specialists - Credit Counselors,2021,31230,$24.25,$39.72,$41.99
64,Business and Financial Operations Occupations - Financial Specialists - Loan Officers,2021,340170,$38.74,$39.72,$41.99
65,"Business and Financial Operations Occupations - Financial Specialists - Tax Examiners and Collectors, and Revenue Agents",2021,52270,$30.38,$39.72,$41.99
66,Business and Financial Operations Occupations - Financial Specialists - Tax Preparers,2021,83190,$24.56,$39.72,$41.99
67,"Business and Financial Operations Occupations - Financial Specialists - Financial Specialists, All Other",2021,123200,$38.64,$39.72,$41.99
68,Computer and Mathematical Occupations - Computer Occupations - Computer Systems Analysts,2021,505150,$49.14,$48.01,$47.89
69,Computer and Mathematical Occupations - Computer Occupations - Information Security Analysts,2021,157220,$54.46,$48.01,$47.89
70,Computer and Mathematical Occupations - Computer Occupations - Computer and Information Research Scientists,2021,30840,$68.58,$48.01,$47.89
71,Computer and Mathematical Occupations - Computer Occupations - Computer Network Support Specialists,2021,176200,$34.30,$48.01,$47.89
72,Computer and Mathematical Occupations - Computer Occupations - Computer User Support Specialists,2021,654310,$27.72,$48.01,$47.89
73,Computer and Mathematical Occupations - Computer Occupations - Computer Network Architects,2021,168830,$58.01,$48.01,$47.89
74,Computer and Mathematical Occupations - Computer Occupations - Database Administrators,2021,85870,$46.42,$48.01,$47.89
75,Computer and Mathematical Occupations - Computer Occupations - Database Architects,2021,50440,$58.58,$48.01,$47.89
76,Computer and Mathematical Occupations - Computer Occupations - Network and Computer Systems Administrators,2021,316760,$43.87,$48.01,$47.89
77,Computer and Mathematical Occupations - Computer Occupations - Computer Programmers,2021,152610,$46.46,$48.01,$47.89
78,Computer and Mathematical Occupations - Computer Occupations - Software Developers,2021,1364180,$58.17,$48.01,$47.89
79,Computer and Mathematical Occupations - Computer Occupations - Software Quality Assurance Analysts and Testers,2021,190120,$46.97,$48.01,$47.89
80,Computer and Mathematical Occupations - Computer Occupations - Web Developers,2021,84820,$39.09,$48.01,$47.89
81,Computer and Mathematical Occupations - Computer Occupations - Web and Digital Interface Designers,2021,82380,$45.90,$48.01,$47.89
82,"Computer and Mathematical Occupations - Computer Occupations - Computer Occupations, All Other",2021,370190,$47.20,$48.01,$47.89
83,Computer and Mathematical Occupations - Mathematical Science Occupations - Actuaries,2021,23040,$60.24,$48.01,$49.90
84,Computer and Mathematical Occupations - Mathematical Science Occupations - Mathematicians,2021,1770,$54.05,$48.01,$49.90
85,Computer and Mathematical Occupations - Mathematical Science Occupations - Operations Research Analysts,2021,98700,$46.07,$48.01,$49.90
86,Computer and Mathematical Occupations - Mathematical Science Occupations - Statisticians,2021,31370,$47.81,$48.01,$49.90
87,Computer and Mathematical Occupations - Mathematical Science Occupations - Data Scientists,2021,105980,$52.24,$48.01,$49.90
88,"Computer and Mathematical Occupations - Mathematical Science Occupations - Mathematical Science Occupations, All Other",2021,3970,$37.48,$48.01,$49.90
89,"Architecture and Engineering Occupations - Architects, Surveyors, and Cartographers - Architects, Except Landscape and Naval",2021,100400,$44.19,$44.10,$39.85
90,"Architecture and Engineering Occupations - Architects, Surveyors, and Cartographers - Landscape Architects",2021,17430,$36.05,$44.10,$39.85
91,"Architecture and Engineering Occupations - Architects, Surveyors, and Cartographers - Cartographers and Photogrammetrists",2021,12610,$35.34,$44.10,$39.85
92,"Architecture and Engineering Occupations - Architects, Surveyors, and Cartographers - Surveyors",2021,46390,$33.12,$44.10,$39.85
93,Architecture and Engineering Occupations - Engineers - Aerospace Engineers,2021,56640,$59.12,$44.10,$50.00
94,Architecture and Engineering Occupations - Engineers - Agricultural Engineers,2021,1120,$41.99,$44.10,$50.00
95,Architecture and Engineering Occupations - Engineers - Bioengineers and Biomedical Engineers,2021,17190,$48.57,$44.10,$50.00
96,Architecture and Engineering Occupations - Engineers - Chemical Engineers,2021,24180,$58.58,$44.10,$50.00
97,Architecture and Engineering Occupations - Engineers - Civil Engineers,2021,304310,$45.91,$44.10,$50.00
98,Architecture and Engineering Occupations - Engineers - Computer Hardware Engineers,2021,73750,$65.50,$44.10,$50.00
99,Architecture and Engineering Occupations - Engineers - Electrical Engineers,2021,186020,$51.87,$44.10,$50.00
100,"Architecture and Engineering Occupations - Engineers - Electronics Engineers, Except Computer",2021,107170,$55.53,$44.10,$50.00
101,Architecture and Engineering Occupations - Engineers - Environmental Engineers,2021,42660,$48.18,$44.10,$50.00
102,"Architecture and Engineering Occupations - Engineers - Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",2021,22870,$47.93,$44.10,$50.00
103,Architecture and Engineering Occupations - Engineers - Industrial Engineers,2021,293950,$45.77,$44.10,$50.00
104,Architecture and Engineering Occupations - Engineers - Marine Engineers and Naval Architects,2021,7380,$47.03,$44.10,$50.00
105,Architecture and Engineering Occupations - Engineers - Materials Engineers,2021,21530,$49.02,$44.10,$50.00
106,Architecture and Engineering Occupations - Engineers - Mechanical Engineers,2021,278240,$46.64,$44.10,$50.00
107,"Architecture and Engineering Occupations - Engineers - Mining and Geological Engineers, Including Mining Safety Engineers",2021,7370,$48.29,$44.10,$50.00
108,Architecture and Engineering Occupations - Engineers - Nuclear Engineers,2021,12670,$58.54,$44.10,$50.00
109,Architecture and Engineering Occupations - Engineers - Petroleum Engineers,2021,22100,$70.06,$44.10,$50.00
110,"Architecture and Engineering Occupations - Engineers - Engineers, All Other",2021,151940,$51.83,$44.10,$50.00
111,"Architecture and Engineering Occupations - Drafters, Engineering Technicians, and Mapping Technicians - Architectural and Civil Drafters",2021,101310,$29.14,$44.10,$30.01
112,"Architecture and Engineering Occupations - Drafters, Engineering Technicians, and Mapping Technicians - Electrical and Electronics Drafters",2021,20830,$32.26,$44.10,$30.01
113,"Architecture and Engineering Occupations - Drafters, Engineering Technicians, and Mapping Technicians - Mechanical Drafters",2021,47760,$30.12,$44.10,$30.01
114,"Architecture and Engineering Occupations - Drafters, Engineering Technicians, and Mapping Technicians - Drafters, All Other",2021,15300,$28.04,$44.10,$30.01
115,"Architecture and Engineering Occupations - Drafters, Engineering Technicians, and Mapping Technicians - Aerospace Engineering and Operations Technologists and Technicians",2021,10900,$35.34,$44.10,$30.01
116,"Architecture and Engineering Occupations - Drafters, Engineering Technicians, and Mapping Technicians - Civil Engineering Technologists and Technicians",2021,64170,$27.89,$44.10,$30.01
117,"Architecture and Engineering Occupations - Drafters, Engineering Technicians, and Mapping Technicians - Electrical and Electronic Engineering Technologists and Technicians",2021,101450,$33.21,$44.10,$30.01
118,"Architecture and Engineering Occupations - Drafters, Engineering Technicians, and Mapping Technicians - Electro Mechanical and Mechatronics Technologists and Technicians",2021,11590,$30.71,$44.10,$30.01
119,"Architecture and Engineering Occupations - Drafters, Engineering Technicians, and Mapping Technicians - Environmental Engineering Technologists and Technicians",2021,14910,$27.21,$44.10,$30.01
120,"Architecture and Engineering Occupations - Drafters, Engineering Technicians, and Mapping Technicians - Industrial Engineering Technologists and Technicians",2021,62030,$29.44,$44.10,$30.01
121,"Architecture and Engineering Occupations - Drafters, Engineering Technicians, and Mapping Technicians - Mechanical Engineering Technologists and Technicians",2021,40180,$30.47,$44.10,$30.01
122,"Architecture and Engineering Occupations - Drafters, Engineering Technicians, and Mapping Technicians - Calibration Technologists and Technicians",2021,8500,$30.19,$44.10,$30.01
123,"Architecture and Engineering Occupations - Drafters, Engineering Technicians, and Mapping Technicians - Engineering Technologists and Technicians, Except Drafters, All Other",2021,73600,$32.83,$44.10,$30.01
124,"Architecture and Engineering Occupations - Drafters, Engineering Technicians, and Mapping Technicians - Surveying and Mapping Technicians",2021,56070,$23.95,$44.10,$30.01
125,"Life, Physical, and Social Science Occupations - Life Scientists - Animal Scientists",2021,2790,$38.65,$38.81,$44.80
126,"Life, Physical, and Social Science Occupations - Life Scientists - Food Scientists and Technologists",2021,13510,$40.46,$38.81,$44.80
127,"Life, Physical, and Social Science Occupations - Life Scientists - Soil and Plant Scientists",2021,15610,$36.68,$38.81,$44.80
128,"Life, Physical, and Social Science Occupations - Life Scientists - Biochemists and Biophysicists",2021,35050,$54.55,$38.81,$44.80
129,"Life, Physical, and Social Science Occupations - Life Scientists - Microbiologists",2021,19430,$42.22,$38.81,$44.80
130,"Life, Physical, and Social Science Occupations - Life Scientists - Zoologists and Wildlife Biologists",2021,15930,$33.80,$38.81,$44.80
131,"Life, Physical, and Social Science Occupations - Life Scientists - Biological Scientists, All Other",2021,47050,$43.27,$38.81,$44.80
132,"Life, Physical, and Social Science Occupations - Life Scientists - Conservation Scientists",2021,22550,$32.81,$38.81,$44.80
133,"Life, Physical, and Social Science Occupations - Life Scientists - Foresters",2021,9500,$32.56,$38.81,$44.80
134,"Life, Physical, and Social Science Occupations - Life Scientists - Epidemiologists",2021,8180,$41.70,$38.81,$44.80
135,"Life, Physical, and Social Science Occupations - Life Scientists - Medical Scientists, Except Epidemiologists",2021,108550,$50.02,$38.81,$44.80
136,"Life, Physical, and Social Science Occupations - Life Scientists - Life Scientists, All Other",2021,6820,$45.40,$38.81,$44.80
137,"Life, Physical, and Social Science Occupations - Physical Scientists - Astronomers",2021,1930,$67.02,$38.81,$46.32
138,"Life, Physical, and Social Science Occupations - Physical Scientists - Physicists",2021,20020,$72.88,$38.81,$46.32
139,"Life, Physical, and Social Science Occupations - Physical Scientists - Atmospheric and Space Scientists",2021,8520,$46.58,$38.81,$46.32
140,"Life, Physical, and Social Science Occupations - Physical Scientists - Chemists",2021,80600,$42.85,$38.81,$46.32
141,"Life, Physical, and Social Science Occupations - Physical Scientists - Materials Scientists",2021,6690,$50.38,$38.81,$46.32
142,"Life, Physical, and Social Science Occupations - Physical Scientists - Environmental Scientists and Specialists, Including Health",2021,76890,$39.06,$38.81,$46.32
143,"Life, Physical, and Social Science Occupations - Physical Scientists - Geoscientists, Except Hydrologists and Geographers",2021,23620,$49.78,$38.81,$46.32
144,"Life, Physical, and Social Science Occupations - Physical Scientists - Hydrologists",2021,6390,$45.57,$38.81,$46.32
145,"Life, Physical, and Social Science Occupations - Physical Scientists - Physical Scientists, All Other",2021,19680,$54.43,$38.81,$46.32
146,"Life, Physical, and Social Science Occupations - Social Scientists and Related Workers - Economists",2021,15640,$58.09,$38.81,$43.66
147,"Life, Physical, and Social Science Occupations - Social Scientists and Related Workers - Survey Researchers",2021,8850,$31.10,$38.81,$43.66
148,"Life, Physical, and Social Science Occupations - Social Scientists and Related Workers - Industrial Organizational Psychologists",2021,610,$54.48,$38.81,$43.66
149,"Life, Physical, and Social Science Occupations - Social Scientists and Related Workers - Clinical and Counseling Psychologists",2021,58100,$47.90,$38.81,$43.66
150,"Life, Physical, and Social Science Occupations - Social Scientists and Related Workers - School Psychologists",2021,57110,$39.80,$38.81,$43.66
151,"Life, Physical, and Social Science Occupations - Social Scientists and Related Workers - Psychologists, All Other",2021,13800,$47.12,$38.81,$43.66
152,"Life, Physical, and Social Science Occupations - Social Scientists and Related Workers - Sociologists",2021,2640,$46.28,$38.81,$43.66
153,"Life, Physical, and Social Science Occupations - Social Scientists and Related Workers - Urban and Regional Planners",2021,38940,$39.09,$38.81,$43.66
154,"Life, Physical, and Social Science Occupations - Social Scientists and Related Workers - Anthropologists and Archeologists",2021,6650,$32.12,$38.81,$43.66
155,"Life, Physical, and Social Science Occupations - Social Scientists and Related Workers - Geographers",2021,1440,$41.70,$38.81,$43.66
156,"Life, Physical, and Social Science Occupations - Social Scientists and Related Workers - Historians",2021,2910,$34.68,$38.81,$43.66
157,"Life, Physical, and Social Science Occupations - Social Scientists and Related Workers - Political Scientists",2021,5650,$57.90,$38.81,$43.66
158,"Life, Physical, and Social Science Occupations - Social Scientists and Related Workers - Social Scientists and Related Workers, All Other",2021,34330,$43.70,$38.81,$43.66
159,"Life, Physical, and Social Science Occupations - Life, Physical, and Social Science Technicians - Agricultural Technicians",2021,13560,$21.56,$38.81,$25.91
160,"Life, Physical, and Social Science Occupations - Life, Physical, and Social Science Technicians - Food Science Technicians",2021,11530,$23.01,$38.81,$25.91
161,"Life, Physical, and Social Science Occupations - Life, Physical, and Social Science Technicians - Biological Technicians",2021,76150,$24.89,$38.81,$25.91
162,"Life, Physical, and Social Science Occupations - Life, Physical, and Social Science Technicians - Chemical Technicians",2021,57690,$26.46,$38.81,$25.91
163,"Life, Physical, and Social Science Occupations - Life, Physical, and Social Science Technicians - Environmental Science and Protection Technicians, Including Health",2021,34110,$24.30,$38.81,$25.91
164,"Life, Physical, and Social Science Occupations - Life, Physical, and Social Science Technicians - Geological Technicians, Except Hydrologic Technicians",2021,9210,$28.40,$38.81,$25.91
165,"Life, Physical, and Social Science Occupations - Life, Physical, and Social Science Technicians - Hydrologic Technicians",2021,3550,$34.50,$38.81,$25.91
166,"Life, Physical, and Social Science Occupations - Life, Physical, and Social Science Technicians - Nuclear Technicians",2021,5360,$45.77,$38.81,$25.91
167,"Life, Physical, and Social Science Occupations - Life, Physical, and Social Science Technicians - Social Science Research Assistants",2021,28690,$27.13,$38.81,$25.91
168,"Life, Physical, and Social Science Occupations - Life, Physical, and Social Science Technicians - Forest and Conservation Technicians",2021,30440,$20.87,$38.81,$25.91
169,"Life, Physical, and Social Science Occupations - Life, Physical, and Social Science Technicians - Forensic Science Technicians",2021,17020,$32.14,$38.81,$25.91
170,"Life, Physical, and Social Science Occupations - Life, Physical, and Social Science Technicians - Life, Physical, and Social Science Technicians, All Other",2021,62230,$26.65,$38.81,$25.91
171,"Life, Physical, and Social Science Occupations - Life, Physical, and Social Science Technicians - Occupational Health and Safety Specialists",2021,106340,$37.86,$38.81,$25.91
172,"Life, Physical, and Social Science Occupations - Life, Physical, and Social Science Technicians - Occupational Health and Safety Technicians",2021,21750,$27.67,$38.81,$25.91
173,"Community and Social Service Occupations - Counselors, Social Workers, and Other Community and Social Service Specialists - Educational, Guidance, and Career Counselors and Advisors",2021,296370,$30.33,$25.94,$25.94
174,"Community and Social Service Occupations - Counselors, Social Workers, and Other Community and Social Service Specialists - Marriage and Family Therapists",2021,54800,$28.69,$25.94,$25.94
175,"Community and Social Service Occupations - Counselors, Social Workers, and Other Community and Social Service Specialists - Rehabilitation Counselors",2021,90310,$21.51,$25.94,$25.94
176,"Community and Social Service Occupations - Counselors, Social Workers, and Other Community and Social Service Specialists - Substance Abuse, Behavioral Disorder, and Mental Health Counselors",2021,310880,$25.72,$25.94,$25.94
177,"Community and Social Service Occupations - Counselors, Social Workers, and Other Community and Social Service Specialists - Counselors, All Other",2021,29480,$23.91,$25.94,$25.94
178,"Community and Social Service Occupations - Counselors, Social Workers, and Other Community and Social Service Specialists - Child, Family, and School Social Workers",2021,340050,$26.39,$25.94,$25.94
179,"Community and Social Service Occupations - Counselors, Social Workers, and Other Community and Social Service Specialists - Healthcare Social Workers",2021,173860,$29.96,$25.94,$25.94
180,"Community and Social Service Occupations - Counselors, Social Workers, and Other Community and Social Service Specialists - Mental Health and Substance Abuse Social Workers",2021,113810,$27.79,$25.94,$25.94
181,"Community and Social Service Occupations - Counselors, Social Workers, and Other Community and Social Service Specialists - Social Workers, All Other",2021,49730,$30.29,$25.94,$25.94
182,"Community and Social Service Occupations - Counselors, Social Workers, and Other Community and Social Service Specialists - Health Education Specialists",2021,55830,$31.22,$25.94,$25.94
183,"Community and Social Service Occupations - Counselors, Social Workers, and Other Community and Social Service Specialists - Probation Officers and Correctional Treatment Specialists",2021,92140,$30.43,$25.94,$25.94
184,"Community and Social Service Occupations - Counselors, Social Workers, and Other Community and Social Service Specialists - Social and Human Service Assistants",2021,398380,$19.45,$25.94,$25.94
185,"Community and Social Service Occupations - Counselors, Social Workers, and Other Community and Social Service Specialists - Community Health Workers",2021,61010,$22.97,$25.94,$25.94
186,"Community and Social Service Occupations - Counselors, Social Workers, and Other Community and Social Service Specialists - Community and Social Service Specialists, All Other",2021,90770,$24.28,$25.94,$25.94
187,Community and Social Service Occupations - Religious Workers - Clergy,2021,50790,$27.51,$25.94,$26.13
188,"Community and Social Service Occupations - Religious Workers - Directors, Religious Activities and Education",2021,21000,$25.42,$25.94,$26.13
189,"Community and Social Service Occupations - Religious Workers - Religious Workers, All Other",2021,10490,$20.81,$25.94,$26.13
190,"Legal Occupations - Lawyers, Judges, and Related Workers - Lawyers",2021,681010,$71.17,$54.38,$69.46
191,"Legal Occupations - Lawyers, Judges, and Related Workers - Judicial Law Clerks",2021,14800,$30.16,$54.38,$69.46
192,"Legal Occupations - Lawyers, Judges, and Related Workers - Administrative Law Judges, Adjudicators, and Hearing Officers",2021,13840,$50.08,$54.38,$69.46
193,"Legal Occupations - Lawyers, Judges, and Related Workers - Arbitrators, Mediators, and Conciliators",2021,7320,$29.98,$54.38,$69.46
194,"Legal Occupations - Lawyers, Judges, and Related Workers - Judges, Magistrate Judges, and Magistrates",2021,27790,$68.52,$54.38,$69.46
195,Legal Occupations - Legal Support Workers - Paralegals and Legal Assistants,2021,336250,$28.04,$54.38,$28.46
196,"Legal Occupations - Legal Support Workers - Title Examiners, Abstractors, and Searchers",2021,51040,$25.19,$54.38,$28.46
197,"Legal Occupations - Legal Support Workers - Legal Support Workers, All Other",2021,46090,$35.10,$54.38,$28.46
198,"Educational Instruction and Library Occupations - Postsecondary Teachers - Business Teachers, Postsecondary",2021,79640,NaN,$29.88,NaN
199,"Educational Instruction and Library Occupations - Postsecondary Teachers - Computer Science Teachers, Postsecondary",2021,37600,NaN,$29.88,NaN
200,"Educational Instruction and Library Occupations - Postsecondary Teachers - Mathematical Science Teachers, Postsecondary",2021,44140,NaN,$29.88,NaN
201,"Educational Instruction and Library Occupations - Postsecondary Teachers - Architecture Teachers, Postsecondary",2021,5950,NaN,$29.88,NaN
202,"Educational Instruction and Library Occupations - Postsecondary Teachers - Engineering Teachers, Postsecondary",2021,35440,NaN,$29.88,NaN
203,"Educational Instruction and Library Occupations - Postsecondary Teachers - Agricultural Sciences Teachers, Postsecondary",2021,8570,NaN,$29.88,NaN
204,"Educational Instruction and Library Occupations - Postsecondary Teachers - Biological Science Teachers, Postsecondary",2021,47690,NaN,$29.88,NaN
205,"Educational Instruction and Library Occupations - Postsecondary Teachers - Forestry and Conservation Science Teachers, Postsecondary",2021,1180,NaN,$29.88,NaN
206,"Educational Instruction and Library Occupations - Postsecondary Teachers - Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2021,10250,NaN,$29.88,NaN
207,"Educational Instruction and Library Occupations - Postsecondary Teachers - Chemistry Teachers, Postsecondary",2021,20260,NaN,$29.88,NaN
208,"Educational Instruction and Library Occupations - Postsecondary Teachers - Environmental Science Teachers, Postsecondary",2021,5440,NaN,$29.88,NaN
209,"Educational Instruction and Library Occupations - Postsecondary Teachers - Physics Teachers, Postsecondary",2021,12460,NaN,$29.88,NaN
210,"Educational Instruction and Library Occupations - Postsecondary Teachers - Anthropology and Archeology Teachers, Postsecondary",2021,5010,NaN,$29.88,NaN
211,"Educational Instruction and Library Occupations - Postsecondary Teachers - Area, Ethnic, and Cultural Studies Teachers, Postsecondary",2021,9040,NaN,$29.88,NaN
212,"Educational Instruction and Library Occupations - Postsecondary Teachers - Economics Teachers, Postsecondary",2021,11790,NaN,$29.88,NaN
213,"Educational Instruction and Library Occupations - Postsecondary Teachers - Geography Teachers, Postsecondary",2021,3440,NaN,$29.88,NaN
214,"Educational Instruction and Library Occupations - Postsecondary Teachers - Political Science Teachers, Postsecondary",2021,14060,NaN,$29.88,NaN
215,"Educational Instruction and Library Occupations - Postsecondary Teachers - Psychology Teachers, Postsecondary",2021,36060,NaN,$29.88,NaN
216,"Educational Instruction and Library Occupations - Postsecondary Teachers - Sociology Teachers, Postsecondary",2021,12550,NaN,$29.88,NaN
217,"Educational Instruction and Library Occupations - Postsecondary Teachers - Social Sciences Teachers, Postsecondary, All Other",2021,16140,NaN,$29.88,NaN
218,"Educational Instruction and Library Occupations - Postsecondary Teachers - Health Specialties Teachers, Postsecondary",2021,191830,NaN,$29.88,NaN
219,"Educational Instruction and Library Occupations - Postsecondary Teachers - Nursing Instructors and Teachers, Postsecondary",2021,68060,NaN,$29.88,NaN
220,"Educational Instruction and Library Occupations - Postsecondary Teachers - Education Teachers, Postsecondary",2021,58780,NaN,$29.88,NaN
221,"Educational Instruction and Library Occupations - Postsecondary Teachers - Library Science Teachers, Postsecondary",2021,4330,NaN,$29.88,NaN
222,"Educational Instruction and Library Occupations - Postsecondary Teachers - Criminal Justice and Law Enforcement Teachers, Postsecondary",2021,13790,NaN,$29.88,NaN
223,"Educational Instruction and Library Occupations - Postsecondary Teachers - Law Teachers, Postsecondary",2021,14110,NaN,$29.88,NaN
224,"Educational Instruction and Library Occupations - Postsecondary Teachers - Social Work Teachers, Postsecondary",2021,12280,NaN,$29.88,NaN
